ID,RA_CFIS,DEC_CFIS,MAG_AUTO_r,name,RA_SLED,DEC_SLED,paper_id,DECALS
2215245030893,127.6856219,32.4523847,18.8643,UNIONS J083044+322708,127.6857,32.4524,2022A&A...666A...1S,https://www.legacysurvey.org/viewer?ra=127.6857&dec=32.4524&layer=ls-dr9&zoom=16
2217309004094,252.3975569,64.4845134,17.9145,J1649+6429,252.39761,64.48452,2022ApJ...932..107S,https://www.legacysurvey.org/viewer?ra=252.39761&dec=64.48452&layer=ls-dr9&zoom=16
2218269023544,153.0775155,44.3832964,18.7938,J1012+4422,153.0776,44.3831,2021ApJ...909...27H,https://www.legacysurvey.org/viewer?ra=153.0776&dec=44.3831&layer=ls-dr9&zoom=16
2218300024368,218.3455098,60.1208466,19.7404,J1433+6007,218.3457,60.1209,2021ApJ...909...27H,https://www.legacysurvey.org/viewer?ra=218.3457&dec=60.1209&layer=ls-dr9&zoom=16
2218300024368,218.3455098,60.1208466,19.7404,J143322+600713,218.3449968,60.12038164,2023arXiv230111080H,https://www.legacysurvey.org/viewer?ra=218.3449968&dec=60.12038164&layer=ls-dr9&zoom=16
2218303029889,228.7716711,61.4799765,17.6006,UNIONS J151505+612848,228.7716,61.48,2022A&A...666A...1S,https://www.legacysurvey.org/viewer?ra=228.7716&dec=61.48&layer=ls-dr9&zoom=16
2219269000256,153.7268691,44.2610031,18.8951,J1014+4415,153.7269,44.261,2021ApJ...909...27H,https://www.legacysurvey.org/viewer?ra=153.7269&dec=44.261&layer=ls-dr9&zoom=16
2220293016092,199.3785546,56.6817941,19.2713,UNIONS J131730+564054,199.3786,56.6818,2022A&A...666A...1S,https://www.legacysurvey.org/viewer?ra=199.3786&dec=56.6818&layer=ls-dr9&zoom=16
2220293016092,199.3785546,56.6817941,19.2713,J1317+5640,199.37848,56.68183,2022arXiv220602764S,https://www.legacysurvey.org/viewer?ra=199.3784796&dec=56.68182509&layer=ls-dr9&zoom=16
2220300021623,220.3747148,60.1690714,19.3993,UNIONS J144129+601008,220.3749,60.1691,2022A&A...666A...1S,https://www.legacysurvey.org/viewer?ra=220.3749&dec=60.1691&layer=ls-dr9&zoom=16
2222261034462,146.2198891,40.2997136,20.0193,J0944+4017,146.2199,40.2997,2021ApJ...909...27H,https://www.legacysurvey.org/viewer?ra=146.2199&dec=40.2997&layer=ls-dr9&zoom=16
2224251040105,137.3302902,35.2509206,19.3561,UNIONS J090919+351503,137.3303,35.2509,2022A&A...666A...1S,https://www.legacysurvey.org/viewer?ra=137.3303&dec=35.2509&layer=ls-dr9&zoom=16
2224251040105,137.3302902,35.2509206,19.3561,PS1J0909+3515,137.32917,35.25083,2020A&A...644A.163C,https://www.legacysurvey.org/viewer?ra=137.32917&dec=35.25083&layer=ls-dr9&zoom=16
2224272033084,161.5784008,46.2302101,21.1313,J1046+4613,161.5784,46.2302,2021ApJ...909...27H,https://www.legacysurvey.org/viewer?ra=161.5784&dec=46.2302&layer=ls-dr9&zoom=16
2226295007970,210.3216026,57.3082025,19.5438,J1401+5718,210.322,57.3084,2016A&A...592A..75P,https://www.legacysurvey.org/viewer?ra=210.322&dec=57.3084&layer=ls-dr9&zoom=16
2227257028745,145.260263,38.7152055,20.3584,J0941+3842,145.2603,38.7152,2021ApJ...909...27H,https://www.legacysurvey.org/viewer?ra=145.2603&dec=38.7152&layer=ls-dr9&zoom=16
2227298025896,220.1554411,59.1949845,17.7513,UNIONS J144037+591141,220.1554,59.195,2022A&A...666A...1S,https://www.legacysurvey.org/viewer?ra=220.1554&dec=59.195&layer=ls-dr9&zoom=16
2227298025896,220.1554411,59.1949845,17.7513,J1440+5911,220.1554,59.19495,2022ApJ...932..107S,https://www.legacysurvey.org/viewer?ra=220.1554&dec=59.194946&layer=ls-dr9&zoom=16
2227298025896,220.1554411,59.1949845,17.7513,J1440+5911,220.1553,59.195,2022arXiv220602764S,https://www.legacysurvey.org/viewer?ra=220.1553&dec=59.195&layer=ls-dr9&zoom=16
2229238002519,131.0528889,29.2024918,18.9854,SDSSJ0844+2912,131.05289,29.20251,2021MNRAS.502.4617T,https://www.legacysurvey.org/viewer?ra=131.05289&dec=29.202513&layer=ls-dr9&zoom=16
2229267011895,157.9520269,43.7157239,18.7599,UNIONS J103148+434256,157.952,43.7158,2022A&A...666A...1S,https://www.legacysurvey.org/viewer?ra=157.952&dec=43.7158&layer=ls-dr9&zoom=16
2229267011895,157.9520269,43.7157239,18.7599,PS1J1031+4342,157.95,43.71583,2020A&A...644A.163C,https://www.legacysurvey.org/viewer?ra=157.95&dec=43.71583&layer=ls-dr9&zoom=16
2229267011895,157.9520269,43.7157239,18.7599,J1031+4342,157.952,43.7158,2021ApJ...909...27H,https://www.legacysurvey.org/viewer?ra=157.952&dec=43.7158&layer=ls-dr9&zoom=16
2229294016668,210.2935156,56.9056638,19.2413,SA90,210.29358,56.9057,2012ApJ...749...38M,https://www.legacysurvey.org/viewer?ra=210.293583333333&dec=56.9056972222222&layer=ls-dr9&zoom=16
2230247031204,138.0524182,33.3766164,21.3831,J0912+3322,138.0524,33.3767,2021ApJ...909...27H,https://www.legacysurvey.org/viewer?ra=138.0524&dec=33.3767&layer=ls-dr9&zoom=16
2230298042330,223.6344541,58.8327231,19.9324,UNIONS J145432+584957,223.6344,58.8327,2022A&A...666A...1S,https://www.legacysurvey.org/viewer?ra=223.6344&dec=58.8327&layer=ls-dr9&zoom=16
2230298042330,223.6344541,58.8327231,19.9324,SDSSJ1454+5849,223.63435,58.83281,2021MNRAS.502.4617T,https://www.legacysurvey.org/viewer?ra=223.63435&dec=58.83281&layer=ls-dr9&zoom=16
2231239019909,132.4295581,29.7243283,20.9151,J0849+2943,132.4296,29.7243,2022arXiv220602764S,https://www.legacysurvey.org/viewer?ra=132.4296&dec=29.7243&layer=ls-dr9&zoom=16
2232306027435,255.8844553,63.2384649,21.1468,J1703+6314,255.884,63.2381,2022ApJ...932..107S,https://www.legacysurvey.org/viewer?ra=255.884&dec=63.2381&layer=ls-dr9&zoom=16
2233255006940,147.0814919,37.6275453,19.5296,UNIONS J094819+373739,147.0815,37.6276,2022A&A...666A...1S,https://www.legacysurvey.org/viewer?ra=147.0815&dec=37.6276&layer=ls-dr9&zoom=16
2234292019886,209.6382906,55.8448546,18.8749,J1358+5550,209.638,55.8449,2016A&A...592A..75P,https://www.legacysurvey.org/viewer?ra=209.638&dec=55.8449&layer=ls-dr9&zoom=16
2235263027194,156.5759369,41.7023263,18.863,UNIONS J102618+414208,156.576,41.7023,2022A&A...666A...1S,https://www.legacysurvey.org/viewer?ra=156.576&dec=41.7023&layer=ls-dr9&zoom=16
2237294011856,217.7510159,56.7676436,20.0941,CFHTLS J143100.2+564603,217.75124,56.7675,2016MNRAS.455.1191M,https://www.legacysurvey.org/viewer?ra=217.75124&dec=56.7675&layer=ls-dr9&zoom=16
2241266016399,164.9799195,42.8594954,21.4497,J1059+4251,164.98,42.8595,2021ApJ...909...27H,https://www.legacysurvey.org/viewer?ra=164.98&dec=42.8595&layer=ls-dr9&zoom=16
2241266016399,164.9799195,42.8594954,21.4497,J1059+4251,164.9802,42.8593,2022arXiv220607714L,https://www.legacysurvey.org/viewer?ra=164.98020&dec=42.85930&layer=ls-dr9&zoom=16
2242290013174,211.3909329,55.0419592,20.3227,140533+550231,211.391,55.042,2014ApJ...785..144G,https://www.legacysurvey.org/viewer?ra=211.391&dec=55.042&layer=ls-dr9&zoom=16
2242292014080,216.7200113,56.0005727,21.9615,CFHTLS J142652.8+560001,216.72004,56.00044,2016MNRAS.455.1191M,https://www.legacysurvey.org/viewer?ra=216.72004&dec=56.00044&layer=ls-dr9&zoom=16
